"SRR1071717"	"SRR1099957"	"SRR1093930"	"SRR1084917"	"SRR1081765"	"SRR1079830"	"SRR1086236"	"SRR1097296"	"SRR1120296"	"SRR1092208"	"SRR1085402"
"ENSG00000010295.19"	1759	1037	1339	733	1487	2040	1465	1082	1312	1795	1010
"ENSG00000010310.8"	7	499	477	555	179	28	14	27	497	16	312
"ENSG00000010318.20"	227	316	324	238	275	304	289	145	243	236	209
"ENSG00000010319.6"	657	579	903	313	838	399	859	732	454	318	545
"ENSG00000010322.15"	8376	15307	13691	9755	10249	7174	6579	5776	9595	5630	8424
"ENSG00000010327.10"	5555	8528	12066	4995	14651	12289	5274	10348	9462	5507	6386
"ENSG00000010361.13"	620	606	884	536	741	850	596	621	551	602	544
"ENSG00000010379.15"	2	5	4	2	2	1	12	7	5	6	3
"ENSG00000010404.17"	5772	6737	5523	3488	5155	7469	5790	3855	4379	5768	3314
"ENSG00000010438.16"	10	93	97	139	51	54	20	13	111	26	170
"ENSG00000010539.11"	167	333	211	216	183	208	153	209	202	227	188
"ENSG00000010610.9"	327	1600	1726	925	1169	401	198	334	2559	325	1416
"ENSG00000010626.14"	233	272	281	174	259	470	265	192	326	492	181
"ENSG00000010671.15"	91	121	188	180	154	128	160	156	201	85	97
"ENSG00000010704.18"	342	463	630	467	498	553	294	176	598	311	607
"ENSG00000010803.16"	3417	2766	2034	1751	2994	3787	4090	2696	1883	6153	1418
"ENSG00000010810.17"	3047	2478	2253	720	2445	3410	3833	3813	1109	2278	717
"ENSG00000010818.8"	969	2118	1284	1121	1171	1141	1415	1443	1251	796	1156
"ENSG00000010932.15"	12	10	16	6	17	42	59	12	6	16	5
"ENSG00000011007.12"	1287	2233	1793	1418	1525	1670	1514	1934	1545	1508	1420
"ENSG00000011009.10"	652	1761	1670	1327	1010	925	657	814	1560	672	1814
"ENSG00000011021.21"	1454	1786	1428	1011	1474	1904	1675	1505	1147	1792	1156
"ENSG00000011028.13"	1000	3278	2580	1935	1022	976	1829	716	4068	1446	4440
"ENSG00000011052.21"	5053	7419	4345	4331	5646	6723	4955	5719	4191	7122	3993
"ENSG00000011083.8"	17	13	9	12	15	19	26	11	5	12	5
"ENSG00000011105.11"	1187	2621	2090	1456	1574	1892	1628	1095	1697	1228	1971
"ENSG00000011114.14"	1533	2352	1510	1439	1320	1730	1569	1231	1355	1457	1264
"ENSG00000011132.11"	497	615	640	508	546	665	568	648	667	692	410
"ENSG00000011143.16"	374	451	562	467	388	471	351	404	463	378	500
"ENSG00000011198.7"	242	662	559	469	874	559	532	996	299	289	567
"ENSG00000011201.11"	32	53	49	86	40	19	20	24	31	10	45
"ENSG00000011243.17"	2858	3424	3361	2939	2852	2941	2550	2069	2994	2363	3107
"ENSG00000011258.15"	843	1396	1366	1239	827	867	691	608	884	527	939
