	T1	T2	smtsd	lib_size
SRR1405547	17.631271	30.769382	Adipose - Subcutaneous	168622.81649596375
SRR1476447	5.4550076	30.191298	Adipose - Subcutaneous	176983.86533372017
SRR1474533	9.186138	30.182648	Adipose - Subcutaneous	176374.90789502545
SRR809963	8.606428	20.184896	Adipose - Subcutaneous	192338.8404122224
SRR658941	10.167965	33.08469	Adipose - Subcutaneous	174756.8806846165
SRR1490057	7.5410423	31.414865	Adipose - Subcutaneous	176969.25653063986
SRR1445259	13.654511	34.408504	Adipose - Subcutaneous	170695.85457798344
SRR820448	9.282682	21.716288	Adipose - Subcutaneous	189228.5573915447
SRR1454439	18.446175	34.709854	Adipose - Subcutaneous	166829.77908130054
SRR1351303	7.722094	30.535818	Adipose - Subcutaneous	177281.33459557724
SRR1369196	16.729378	27.330904	Adipose - Subcutaneous	178464.54820348375
SRR1384395	21.0538	33.09843	Adipose - Subcutaneous	168953.43362781178
SRR1348402	5.877362	31.650301	Adipose - Subcutaneous	171790.4370207006
SRR820755	9.476564	21.349901	Adipose - Subcutaneous	187590.20002434924
SRR1414229	10.149784	26.315783	Adipose - Subcutaneous	179577.81802672707
SRR1405165	17.751043	34.605484	Adipose - Subcutaneous	167369.72857779916
SRR612935	14.223697	34.376884	Adipose - Subcutaneous	170738.00989452715
SRR661361	9.552361	20.11755	Adipose - Subcutaneous	192334.04471846577
SRR1420276	21.124279	33.127247	Adipose - Subcutaneous	167759.50682642637
SRR1095455	14.9129	37.24432	Adipose - Subcutaneous	165565.1389146503
SRR1360695	7.6666245	30.408728	Adipose - Subcutaneous	176046.5824123973
SRR1330588	16.90915	27.940233	Adipose - Subcutaneous	174282.46576716323
SRR1331708	10.448699	30.052065	Adipose - Subcutaneous	173234.9331433067
SRR1341344	4.726078	29.793573	Adipose - Subcutaneous	178311.72444464482
SRR655768	17.861511	38.703873	Adipose - Subcutaneous	164210.3091684751
SRR1072247	6.3712516	26.615196	Adipose - Subcutaneous	182690.65259674806
SRR1354315	17.765478	27.88293	Adipose - Subcutaneous	173979.8571843952
SRR615778	-29.719	15.61754	Adipose - Subcutaneous	154809.43097073905
SRR1400910	14.880975	37.302174	Adipose - Subcutaneous	165589.46753198103
SRR615659	4.270199	33.31347	Adipose - Subcutaneous	172340.72299924496
SRR1353309	13.367989	31.670198	Adipose - Subcutaneous	175810.58795698182
SRR1401468	6.5967474	25.225372	Adipose - Subcutaneous	185577.33566099417
SRR1310542	17.387728	27.742691	Adipose - Subcutaneous	173631.283405339
SRR1324025	15.723134	29.215927	Adipose - Subcutaneous	176902.7500541047
SRR613855	14.991142	31.172956	Adipose - Subcutaneous	172495.8766349661
SRR1471477	8.189625	29.444727	Adipose - Subcutaneous	179666.3096770093
SRR1444138	11.177953	31.152605	Adipose - Subcutaneous	177580.31934591566
SRR1102631	7.1343923	27.697369	Adipose - Subcutaneous	181462.13360921043
SRR1361174	12.679756	34.76553	Adipose - Subcutaneous	173964.479339446
SRR1096712	17.510237	29.890955	Adipose - Subcutaneous	170931.48202839782
SRR1388354	6.8595743	32.518982	Adipose - Subcutaneous	175248.4310666481
SRR1380657	12.017912	29.53706	Adipose - Subcutaneous	175508.47399578046
SRR1318796	13.260853	24.768679	Adipose - Subcutaneous	176783.36010892258
SRR1362310	6.2390532	29.80616	Adipose - Subcutaneous	178797.99833392462
SRR1468744	8.453068	30.462103	Adipose - Subcutaneous	177064.23213419353
SRR614191	16.361582	38.24156	Adipose - Subcutaneous	158544.5583002293
SRR1475192	19.019344	28.678442	Adipose - Subcutaneous	172407.082747182
